"ID","NAME"
1,"MBBS"
2,"B.Phil"
3,"B.Pharm"
4,"B.Bus"
5,"BASC"
6,"B.Tech"
7,"B.Com"
8,"BHSc"
9,"B.Eng"
10,"MDS"
11,"MPT"
12,"M.S.Ed"
13,"MPS"
14,"MSc"
15,"MSSc"
16,"Mmus"
17,"MBA"
18,"DBA"
19,"MD"
20,"DAGR"
21,"Mecon"
22,"A.A"
23,"A.A.S"
24,"A.G.S"
25,"A.S"
26,"B.Maths"
27,"A.S.T"
28,"B.A.A"
29,"B.L.S"
30,"BSW"
31,"B.F.A"
32,"BSBA"
33,"MLIS"
34,"BD"
35,"BVSC"
36,"BM"
37,"M.P.P"
38,"B.Des"
39,"BDS"
40,"DDM"
41,"M.Fin"
42,"DDS"
43,"VMD"
44,"DMin"
45,"M.Pharm"
46,"M.Eng"
47,"M.Phil"
48,"Au.D"
49,"D.TH"
50,"Ed.D"
51,"Phy.D"
52,"D.Prof"
53,"MscIT"
54,"D.S.W"
55,"D.N.P"
56,"M.J"
57,"DIT"
58,"M.ST"
59,"M.Ent"
60,"M.DIV"
61,"D.J"
62,"P.TH.D"
63,"Ms.PH"
64,"MPA"
65,"LL.M"
66,"MSW"
67,"D.A"
68,"MAS"
70,"HND"
71,"Pg.D"
72,"SSCE/GCE O LEVEL"
19792,"B.Sc"
150563,"B.A"
150565,"NCE"
150567,"LL.B"
150569,"B.Ed"
150572,"B.Arch"
150574,"B.URP"
150701,"A.BA"
150709,"ASN"
150711,"AFA"
150713,"BBA"
150715,"BABA"
150719,"BAgrSc"
150725,"BBE"
150727,"DMD"
150731,"LL.D"
150733,"LittB"
150735,"LittD"
150737,"LHD"
150745,"M.HS"
150749,"M.E.M"
150751,"MB"
150753,"MA"
150755,"MTh"
150757,"M.F.A"
150759,"MF"
150763,"M.Ls"
150765,"M.CJ"
150767,"MBM"
150769,"M.Ed"
150771,"MAT"
150775,"MLS"
150777,"MHS"
150781,"PgCert"
150783,"Psy.D"
227694,"N/A"
227929,"TT"
1143122,"OND (ND)"
1270194,"M.Tech"
