"ID","NAME","SLUG"
42,"ADVANCED NDT AND INSPECTION","advanced-ndt-and-inspection"
35,"DRILLING MACHINE","drilling-machine"
36,"FLUKE LAN TESTER","fluke-lan-tester"
55001,"DRILLING EQUIPMENT",""
55002,"MATERIAL AND PRODUCT HANDLING EQUIPMENT",""
55003,"COMPRESSORS / EXPANDERS / BLOWERS AND ACCESSORIES",""
55004,"PUMPS AND ACCESSORIES",""
55005,"DRIVERS AND ACCESSORIES",""
55006,"HEATERS / FURNACES / BOILERS",""
55007,"HEAT EXCHANGERS / HEAT TRANSFER EQUIPMENT",""
55008,"TANKS / VESSELS / COLUMNS",""
55009,"ELECTRICAL EQUIPMENT AND MATERIALS",""
55010,"INSTRUMENTATION / COMMUNICATION AND PROCESS CONTROL EQUIPMENT / MATERIALS",""
55011,"MISCELLANEOUS MECHANICAL EQUIPMENT",""
55012,"COOLING / HEATING / VENTILATION / AIR CONDITIONING EQUIPMENT",""
55013,"MARINE / DIVING AND PIPELINE EQUIPMENT",""
55014,"COMPUTER AND COMMUNICATION EQUIPMENT",""
55015,"LABORATORY / MEDICAL EQUIPMENT",""
55016,"SAFETY / PROTECTION / SECURITY / FIREFIGHTING EQUIPMENT",""
55017,"ENVIRONMENTAL EQUIPMENT / PRODUCTS",""
55018,"PACKAGES - CONSTRUCTION / OUTFITTING",""
55019,"SERVICE STATION EQUIPMENT / MATERIALS / PRODUCTS",""
55020,"PIPES / TUBES / HOSES AND FITTINGS",""
55022,"STEEL / METAL MATERIALS",""
55023,"NON-METAL MATERIALS (PLASTICS, COMPOSITES)",""
55024,"AUTOMOBILES AND ASSOCIATED EQUIPMENT","automobiles-and-associated-equipment"
55025,"DOWNSTREAM PACKING MATERIALS",""
55026,"CHEMICAL / OILS / PAINTS",""
55027,"INSULATION / REFRACTORY MATERIALS",""
55028,"CIVIL BULK MATERIALS",""
55029,"VALVES AND ACCESSORIES",""
55030,"WORKSHOP AND HANDTOOLS",""
55031,"OFFICE ADMINISTRATION PRODUCTS AND CONSUMABLES",""
55032,"OTHER PRODUCTS / EQUIPMENT AND MATERIALS",""
161213,"MARINE VESSEL","marine-vessel"
10,"SWAMP BUGGY AND TILLING MACHINE","swamp-buggy-and-tilling-machine"
16,"SANITARY EQUIPMENT","sanitary-equipment"
17,"CLEANING EQUIPMENT","cleaning-equipment"
18,"HEAVY DUTY TRUCKS","heavy-duty-trucks"
27,"MOBILE CRANE","mobile-crane"
22,"METERING COMPONENTS","metering-components"
23,"INDUSTRIAL INVERTERS","industrial-inverters"
25,"VALVES ASSEMBLY AND CALIBRATION","valves-assembly-and-calibration"
13,"EARTH MOVING EQUIPMENT","earth-moving-equipment"
29,"SELF LOADER","self-loader"
15,"WIRELINE SERVICE EQUIPMENT","wireline-service-equipment"
28,"VACUUM TRUCK","vacuum-truck"
11,"CONSTRUCTION EQUIPMENT","construction"
12,"LIFTING EQUIPMENT","lifting-equipment"
19,"HAULAGE TANKERS","haulage-tankers"
20,"LINE PIPES","line-pipes"
21,"FITTINGS VALVES","fittings-valves"
24,"BATTERIES","batteries"
26,"LOWBED TRAILER","lowbed-trailer"
32,"PULLEYS AND MARINE ROPES","pulleys-and-marine-ropes"
37,"FIBRE TERMINATING KIT","fibre-terminating-kit"
43,"AIR TRANSPORTATION","air-transportation"
31,"MEGA TESTER","mega-tester"
34,"LAN TESTING KIT","lan-testing-kits"
38,"TRUE RMS MULTI","true-rms-multi"
40,"OTDR","otdr"
41,"CONVENTIONAL NDT AND INSPECTION","conventional-ndt-and-inspection"
33,"OSCILLOSCOPE","oscilloscope"
39,"LINK ANALYSER","link-analyzer"
